"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"110001 Alta Floresta D'Oeste";6;21;8;8;-;-;43
"110037 Alto Alegre dos Parecis";-;8;4;4;-;-;16
"110040 Alto Paraíso";-;12;-;4;-;-;16
"110034 Alvorada D'Oeste";3;16;10;6;-;-;35
"110002 Ariquemes";32;39;21;33;3;7;135
"110045 Buritis";10;12;5;5;-;-;32
"110003 Cabixi";-;4;2;2;1;-;9
"110060 Cacaulândia";-;16;3;7;-;-;26
"110004 Cacoal";116;92;19;60;-;-;287
"110070 Campo Novo de Rondônia";-;12;1;6;-;-;19
"110080 Candeias do Jamari";-;5;5;5;-;-;15
"110090 Castanheiras";-;7;-;-;-;-;7
"110005 Cerejeiras";5;20;8;7;-;-;40
"110092 Chupinguaia";-;6;4;-;-;-;10
"110006 Colorado do Oeste";7;23;7;12;-;1;50
"110007 Corumbiara";-;16;-;-;-;-;16
"110008 Costa Marques";4;30;4;7;-;-;45
"110094 Cujubim";-;8;-;3;-;-;11
"110009 Espigão D'Oeste";6;15;7;8;-;-;36
"110100 Governador Jorge Teixeira";2;8;7;4;-;-;21
"110010 Guajará-Mirim";5;29;22;32;-;-;88
"110110 Itapuã do Oeste";-;10;3;7;-;-;20
"110011 Jaru";9;49;22;20;-;-;100
"110012 Ji-Paraná";50;62;25;24;-;-;161
"110013 Machadinho D'Oeste";10;15;10;6;7;-;48
"110120 Ministro Andreazza";-;10;-;6;-;-;16
"110130 Mirante da Serra";2;14;4;5;-;-;25
"110140 Monte Negro";6;12;8;14;-;-;40
"110014 Nova Brasilândia D'Oeste";5;25;8;6;-;-;44
"110033 Nova Mamoré";-;11;3;6;-;-;20
"110143 Nova União";-;9;3;3;-;-;15
"110050 Novo Horizonte do Oeste";-;13;-;5;-;-;18
"110015 Ouro Preto do Oeste";10;20;5;10;-;-;45
"110145 Parecis";-;6;-;2;-;-;8
"110018 Pimenta Bueno";5;18;12;11;-;-;46
"110146 Pimenteiras do Oeste";-;5;2;2;-;-;9
"110020 Porto Velho";349;559;128;106;103;8;1253
"110025 Presidente Médici";10;22;8;5;-;-;45
"110147 Primavera de Rondônia";-;-;-;-;-;-;-
"110026 Rio Crespo";-;7;1;1;-;-;9
"110028 Rolim de Moura";5;37;21;12;3;-;78
"110029 Santa Luzia D'Oeste";3;13;4;5;-;-;25
"110148 São Felipe D'Oeste";-;7;-;-;-;-;7
"110149 São Francisco do Guaporé";4;12;8;5;-;-;29
"110032 São Miguel do Guaporé";9;18;9;8;-;-;44
"110150 Seringueiras";10;12;6;8;-;-;36
"110155 Teixeirópolis";-;6;-;3;-;-;9
"110160 Theobroma";-;9;1;3;-;-;13
"110170 Urupá";-;10;10;5;-;-;25
"110175 Vale do Anari";-;8;1;2;1;-;12
"110180 Vale do Paraíso";-;10;2;4;-;-;16
"110030 Vilhena";51;81;28;21;6;-;187
"110000 Município ignorado - RO";-;-;-;-;-;-;-
"120001 Acrelândia";-;8;2;4;2;-;16
"120005 Assis Brasil";-;7;2;3;-;-;12
"120010 Brasiléia";4;6;20;4;-;-;34
"120013 Bujari";-;-;-;-;-;-;-
"120017 Capixaba";-;-;-;-;-;-;-
"120020 Cruzeiro do Sul";41;72;25;18;5;-;161
"120025 Epitaciolândia";-;-;-;-;-;-;-
"120030 Feijó";6;16;12;5;2;-;41
"120032 Jordão";-;7;2;1;-;-;10
"120033 Mâncio Lima";-;11;6;6;2;-;25
"120034 Manoel Urbano";-;16;4;4;2;-;26
"120035 Marechal Thaumaturgo";-;8;3;2;-;-;13
"120038 Plácido de Castro";-;29;9;12;2;-;52
"120080 Porto Acre";-;-;-;-;-;-;-
"120039 Porto Walter";-;8;2;4;-;-;14
"120040 Rio Branco";195;282;114;72;97;3;763
"120042 Rodrigues Alves";-;8;2;5;1;-;16
"120043 Santa Rosa do Purus";-;10;2;2;2;-;16
"120050 Sena Madureira";2;24;8;12;4;-;50
"120045 Senador Guiomard";9;12;3;3;2;-;29
"120060 Tarauacá";6;14;12;8;2;-;42
"120070 Xapuri";-;19;4;7;-;-;30
"120000 Município ignorado - AC";-;-;-;-;-;-;-
"130002 Alvarães";2;8;8;4;-;-;22
"130006 Amaturá";6;13;5;6;-;-;30
"130008 Anamã";6;6;4;4;-;-;20
"130010 Anori";5;6;6;6;-;-;23
"130014 Apuí";8;16;8;10;-;-;42
"130020 Atalaia do Norte";7;10;8;5;-;-;30
"130030 Autazes";3;12;8;8;-;-;31
"130040 Barcelos";4;12;8;5;1;-;30
"130050 Barreirinha";6;10;8;7;-;-;31
"130060 Benjamin Constant";2;12;15;5;-;3;37
"130063 Beruri";1;2;6;4;-;-;13
"130068 Boa Vista do Ramos";4;8;5;5;-;-;22
"130070 Boca do Acre";2;32;8;18;1;-;61
"130080 Borba";8;10;10;10;-;-;38
"130083 Caapiranga";3;7;4;4;-;-;18
"130090 Canutama";2;7;3;4;-;-;16
"130100 Carauari";6;22;12;10;-;-;50
"130110 Careiro";4;6;5;5;-;-;20
"130115 Careiro da Várzea";-;-;-;-;-;-;-
"130120 Coari";15;31;30;25;-;-;101
"130130 Codajás";10;10;14;10;3;-;47
"130140 Eirunepé";11;18;27;20;4;-;80
"130150 Envira";1;10;7;6;-;-;24
"130160 Fonte Boa";6;29;8;15;-;-;58
"130165 Guajará";6;8;4;2;-;-;20
"130170 Humaitá";10;8;10;8;2;-;38
"130180 Ipixuna";3;12;7;4;-;-;26
"130185 Iranduba";15;7;6;4;-;-;32
"130190 Itacoatiara";25;36;25;20;2;-;108
"130195 Itamarati";4;6;2;3;-;-;15
"130200 Itapiranga";3;6;4;5;-;-;18
"130210 Japurá";8;2;5;5;-;-;20
"130220 Juruá";3;7;3;7;-;-;20
"130230 Jutaí";2;8;4;4;-;-;18
"130240 Lábrea";12;13;16;15;-;-;56
"130250 Manacapuru";12;21;23;16;-;-;72
"130255 Manaquiri";2;12;3;3;-;-;20
"130260 Manaus";861;809;415;460;54;37;2636
"130270 Manicoré";12;12;26;10;-;-;60
"130280 Maraã";4;5;5;5;-;-;19
"130290 Maués";15;34;26;15;-;-;90
"130300 Nhamundá";2;8;5;4;-;-;19
"130310 Nova Olinda do Norte";4;12;8;6;1;-;31
"130320 Novo Airão";4;4;10;4;-;-;22
"130330 Novo Aripuanã";4;11;8;7;1;-;31
"130340 Parintins";26;35;39;34;1;-;135
"130350 Pauini";4;11;6;5;-;-;26
"130353 Presidente Figueiredo";3;12;7;7;-;-;29
"130356 Rio Preto da Eva";6;8;3;6;6;-;29
"130360 Santa Isabel do Rio Negro";2;8;5;5;-;-;20
"130370 Santo Antônio do Içá";4;10;5;6;-;-;25
"130380 São Gabriel da Cachoeira";14;24;22;20;3;-;83
"130390 São Paulo de Olivença";6;7;6;3;-;-;22
"130395 São Sebastião do Uatumã";3;8;4;5;-;-;20
"130400 Silves";5;7;4;4;-;-;20
"130406 Tabatinga";10;16;15;10;-;-;51
"130410 Tapauá";5;14;11;5;-;-;35
"130420 Tefé";11;20;30;17;2;-;80
"130423 Tonantins";5;9;10;9;-;-;33
"130426 Uarini";2;8;5;5;-;-;20
"130430 Urucará";4;13;9;6;-;7;39
"130440 Urucurituba";8;11;6;7;-;-;32
"130000 Município ignorado - AM";-;-;-;-;-;-;-
"140005 Alto Alegre";-;15;2;5;-;-;22
"140002 Amajari";-;-;-;-;-;-;-
"140010 Boa Vista";212;474;133;36;34;-;889
"140015 Bonfim";-;5;2;1;-;-;8
"140017 Cantá";-;-;-;-;-;-;-
"140020 Caracaraí";8;11;3;2;-;-;24
"140023 Caroebe";-;10;2;4;-;-;16
"140028 Iracema";-;-;-;-;-;-;-
"140030 Mucajaí";-;13;-;1;-;-;14
"140040 Normandia";-;10;4;5;-;-;19
"140045 Pacaraima";-;5;3;5;-;-;13
"140047 Rorainópolis";10;9;5;4;2;-;30
"140050 São João da Baliza";-;9;2;4;-;-;15
"140060 São Luiz";-;9;3;2;-;-;14
"140070 Uiramutã";-;-;-;-;-;-;-
"140000 Município ignorado - RR";-;-;-;-;-;-;-
"150010 Abaetetuba";59;61;21;26;-;-;167
"150013 Abel Figueiredo";2;10;4;4;1;-;21
"150020 Acará";5;12;10;6;-;-;33
"150030 Afuá";4;10;6;10;-;-;30
"150034 Água Azul do Norte";8;18;7;7;-;-;40
"150040 Alenquer";20;36;19;16;-;-;91
"150050 Almeirim";20;29;18;17;-;3;87
"150060 Altamira";46;55;31;28;1;-;161
"150070 Anajás";2;9;4;5;-;-;20
"150080 Ananindeua";262;236;80;116;-;-;694
"150085 Anapu";7;9;10;9;-;-;35
"150090 Augusto Corrêa";10;43;4;16;-;-;73
"150095 Aurora do Pará";21;14;8;15;-;-;58
"150100 Aveiro";-;-;-;-;-;-;-
"150110 Bagre";2;6;4;3;-;-;15
"150120 Baião";6;11;8;5;-;-;30
"150125 Bannach";-;6;1;3;-;-;10
"150130 Barcarena";16;44;46;21;-;-;127
"150140 Belém";696;763;348;426;79;53;2365
"150145 Belterra";1;9;3;7;-;-;20
"150150 Benevides";-;-;-;-;-;-;-
"150157 Bom Jesus do Tocantins";6;12;7;6;-;-;31
"150160 Bonito";-;-;-;-;-;-;-
"150170 Bragança";48;102;53;55;-;-;258
"150172 Brasil Novo";4;14;9;6;-;-;33
"150175 Brejo Grande do Araguaia";5;10;3;6;-;-;24
"150178 Breu Branco";10;16;7;9;2;-;44
"150180 Breves";53;35;23;29;-;-;140
"150190 Bujaru";10;11;2;7;-;-;30
"150200 Cachoeira do Arari";2;8;6;4;-;-;20
"150195 Cachoeira do Piriá";-;-;-;-;-;-;-
"150210 Cametá";40;46;40;40;-;-;166
"150215 Canaã dos Carajás";12;18;13;6;-;1;50
"150220 Capanema";58;47;30;41;-;-;176
"150230 Capitão Poço";5;34;15;14;-;-;68
"150240 Castanhal";73;105;58;54;5;7;302
"150250 Chaves";-;3;4;2;-;-;9
"150260 Colares";-;4;2;2;-;-;8
"150270 Conceição do Araguaia";40;29;23;13;-;2;107
"150275 Concórdia do Pará";3;12;4;6;-;-;25
"150276 Cumaru do Norte";2;5;2;2;-;-;11
"150277 Curionópolis";6;18;13;13;-;-;50
"150280 Curralinho";5;6;5;10;-;-;26
"150285 Curuá";-;-;-;-;-;-;-
"150290 Curuçá";5;10;6;6;-;-;27
"150293 Dom Eliseu";17;33;11;14;-;-;75
"150295 Eldorado do Carajás";8;16;11;6;-;-;41
"150300 Faro";1;4;2;3;-;-;10
"150304 Floresta do Araguaia";2;10;4;3;1;-;20
"150307 Garrafão do Norte";4;4;4;3;-;5;20
"150309 Goianésia do Pará";2;8;7;7;-;-;24
"150310 Gurupá";1;12;4;6;-;-;23
"150320 Igarapé-Açu";10;14;9;12;-;-;45
"150330 Igarapé-Miri";34;58;11;26;-;-;129
"150340 Inhangapi";-;8;7;4;-;-;19
"150345 Ipixuna do Pará";33;24;7;10;-;2;76
"150350 Irituia";-;16;6;8;-;-;30
"150360 Itaituba";13;26;26;16;3;-;84
"150370 Itupiranga";13;17;12;11;-;-;53
"150375 Jacareacanga";4;8;5;7;-;-;24
"150380 Jacundá";7;50;6;10;-;-;73
"150390 Juruti";18;17;8;6;2;-;51
"150400 Limoeiro do Ajuru";3;8;3;6;-;-;20
"150405 Mãe do Rio";4;26;8;14;-;-;52
"150410 Magalhães Barata";-;-;-;-;-;-;-
"150420 Marabá";107;51;39;28;-;-;225
"150430 Maracanã";6;9;8;4;-;-;27
"150440 Marapanim";-;10;4;4;-;-;18
"150442 Marituba";28;56;16;20;-;-;120
"150445 Medicilândia";9;16;8;8;-;-;41
"150450 Melgaço";4;4;4;3;-;-;15
"150460 Mocajuba";4;8;7;8;-;-;27
"150470 Moju";7;20;12;11;-;-;50
"150475 Mojuí dos Campos";-;-;-;-;-;-;-
"150480 Monte Alegre";10;26;8;14;-;-;58
"150490 Muaná";7;8;5;6;-;-;26
"150495 Nova Esperança do Piriá";5;14;8;5;-;-;32
"150497 Nova Ipixuna";-;7;2;4;-;-;13
"150500 Nova Timboteua";-;-;-;-;-;-;-
"150503 Novo Progresso";8;13;6;7;-;-;34
"150506 Novo Repartimento";10;16;16;12;-;-;54
"150510 Óbidos";12;23;12;16;-;-;63
"150520 Oeiras do Pará";4;4;4;3;-;-;15
"150530 Oriximiná";20;17;19;18;-;-;74
"150540 Ourém";6;7;6;5;-;-;24
"150543 Ourilândia do Norte";18;23;11;13;-;-;65
"150548 Pacajá";3;15;7;7;-;-;32
"150549 Palestina do Pará";3;8;3;6;-;-;20
"150550 Paragominas";50;29;23;15;-;-;117
"150553 Parauapebas";27;30;25;18;-;-;100
"150555 Pau D'Arco";4;8;4;6;-;-;22
"150560 Peixe-Boi";-;-;-;-;-;-;-
"150563 Piçarra";-;13;4;3;-;-;20
"150565 Placas";3;11;7;7;1;-;29
"150570 Ponta de Pedras";1;13;2;4;-;-;20
"150580 Portel";4;11;8;6;-;-;29
"150590 Porto de Moz";7;17;13;11;1;-;49
"150600 Prainha";2;8;4;5;1;-;20
"150610 Primavera";-;-;-;-;-;-;-
"150611 Quatipuru";-;-;-;-;-;-;-
"150613 Redenção";52;64;29;37;1;4;187
"150616 Rio Maria";4;14;7;4;-;-;29
"150618 Rondon do Pará";13;33;22;20;-;-;88
"150619 Rurópolis";3;12;6;6;-;-;27
"150620 Salinópolis";14;12;14;7;-;-;47
"150630 Salvaterra";3;7;5;4;-;-;19
"150635 Santa Bárbara do Pará";-;-;-;-;-;-;-
"150640 Santa Cruz do Arari";1;4;6;4;-;-;15
"150650 Santa Izabel do Pará";10;10;20;20;-;-;60
"150655 Santa Luzia do Pará";-;8;4;4;-;-;16
"150658 Santa Maria das Barreiras";5;10;5;3;-;-;23
"150660 Santa Maria do Pará";7;15;7;8;-;-;37
"150670 Santana do Araguaia";10;25;16;12;-;-;63
"150680 Santarém";116;102;77;54;5;1;355
"150690 Santarém Novo";-;-;-;-;-;-;-
"150700 Santo Antônio do Tauá";10;41;8;15;-;-;74
"150710 São Caetano de Odivelas";4;5;6;5;-;-;20
"150715 São Domingos do Araguaia";4;9;4;4;-;-;21
"150720 São Domingos do Capim";5;12;6;8;-;-;31
"150730 São Félix do Xingu";27;34;21;10;6;-;98
