"Município";"Cirúrgicos";"Clínicos";"Obstétrico";"Pediátrico";"Outras Especialidades";"Hospital/DIA";"Total"
"130330 Novo Aripuanã";-;-;-;-;-;-;-
"130340 Parintins";-;-;-;-;-;-;-
"130350 Pauini";-;-;-;-;-;-;-
"130353 Presidente Figueiredo";-;-;-;-;-;-;-
"130356 Rio Preto da Eva";-;-;-;-;-;-;-
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-
"130370 Santo Antônio do Içá";-;28;-;-;-;-;28
"130380 São Gabriel da Cachoeira";3;3;-;-;-;-;6
"130390 São Paulo de Olivença";-;-;-;-;-;-;-
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-
"130400 Silves";-;-;-;-;-;-;-
"130406 Tabatinga";-;-;-;-;-;-;-
"130410 Tapauá";-;-;-;-;-;-;-
"130420 Tefé";2;2;6;2;-;-;12
"130423 Tonantins";-;-;-;-;-;-;-
"130426 Uarini";-;-;-;-;-;-;-
"130430 Urucará";-;-;-;-;-;-;-
"130440 Urucurituba";-;-;-;-;-;-;-
"130000 Município ignorado - AM";-;-;-;-;-;-;-
"140005 Alto Alegre";-;-;2;2;-;-;4
"140002 Amajari";-;-;-;-;-;-;-
"140010 Boa Vista";5;37;4;-;-;-;46
"140015 Bonfim";-;6;-;-;-;-;6
"140017 Cantá";-;-;-;-;-;-;-
"140020 Caracaraí";-;-;-;-;-;-;-
"140023 Caroebe";-;-;-;-;-;-;-
"140028 Iracema";-;1;-;-;-;-;1
"140030 Mucajaí";-;3;5;-;-;-;8
"140040 Normandia";-;1;-;-;-;-;1
"140045 Pacaraima";-;-;-;-;-;-;-
"140047 Rorainópolis";-;-;-;-;-;-;-
"140050 São João da Baliza";-;-;-;-;-;-;-
"140060 São Luiz";-;1;-;2;-;-;3
"140070 Uiramutã";-;-;-;-;-;-;-
"140000 Município ignorado - RR";-;-;-;-;-;-;-
"150010 Abaetetuba";14;20;13;10;-;-;57
"150013 Abel Figueiredo";-;-;-;-;-;-;-
"150020 Acará";-;-;-;-;-;-;-
"150030 Afuá";-;-;-;-;-;-;-
"150034 Água Azul do Norte";-;-;-;-;-;-;-
"150040 Alenquer";1;2;2;1;-;-;6
"150050 Almeirim";1;2;2;2;-;-;7
"150060 Altamira";10;64;6;10;-;-;90
"150070 Anajás";-;-;-;-;-;-;-
"150080 Ananindeua";36;55;31;37;-;-;159
"150085 Anapu";-;-;-;-;-;-;-
"150090 Augusto Corrêa";-;12;-;-;1;-;13
"150095 Aurora do Pará";-;-;-;-;-;-;-
"150100 Aveiro";-;-;-;-;-;-;-
"150110 Bagre";-;-;-;-;-;-;-
"150120 Baião";-;-;-;-;-;-;-
"150125 Bannach";-;-;-;-;-;-;-
"150130 Barcarena";6;4;4;4;-;-;18
"150140 Belém";439;477;78;117;28;25;1164
"150145 Belterra";-;-;-;-;-;-;-
"150150 Benevides";-;-;-;-;-;-;-
"150157 Bom Jesus do Tocantins";-;-;-;-;-;-;-
"150160 Bonito";-;-;-;-;-;-;-
"150170 Bragança";9;67;9;12;-;-;97
"150172 Brasil Novo";-;-;-;-;-;-;-
"150175 Brejo Grande do Araguaia";-;-;-;-;-;-;-
"150178 Breu Branco";-;-;-;-;-;-;-
"150180 Breves";-;-;-;-;-;-;-
"150190 Bujaru";1;8;-;4;-;-;13
"150200 Cachoeira do Arari";-;-;-;-;-;-;-
"150195 Cachoeira do Piriá";-;-;-;-;-;-;-
"150210 Cametá";2;5;2;8;-;-;17
"150215 Canaã dos Carajás";10;6;4;3;-;-;23
"150220 Capanema";25;32;24;21;-;-;102
"150230 Capitão Poço";20;33;15;10;-;-;78
"150240 Castanhal";50;26;11;11;-;2;100
"150250 Chaves";-;-;-;-;-;-;-
"150260 Colares";-;-;-;-;-;-;-
"150270 Conceição do Araguaia";3;3;3;3;-;-;12
"150275 Concórdia do Pará";-;-;-;-;-;-;-
"150276 Cumaru do Norte";-;-;-;-;-;-;-
"150277 Curionópolis";-;-;-;-;-;-;-
"150280 Curralinho";-;-;-;-;-;-;-
"150285 Curuá";-;-;-;-;-;-;-
"150290 Curuçá";-;-;-;-;-;-;-
"150293 Dom Eliseu";-;6;-;-;-;-;6
"150295 Eldorado do Carajás";-;-;-;-;-;-;-
"150300 Faro";-;-;-;-;-;-;-
"150304 Floresta do Araguaia";-;-;-;-;-;-;-
"150307 Garrafão do Norte";-;-;-;-;-;-;-
"150309 Goianésia do Pará";-;-;-;-;-;-;-
"150310 Gurupá";-;-;-;-;-;-;-
"150320 Igarapé-Açu";-;-;-;-;-;-;-
"150330 Igarapé-Miri";1;2;-;1;-;-;4
"150340 Inhangapi";-;-;-;-;-;-;-
"150345 Ipixuna do Pará";-;-;-;-;-;-;-
"150350 Irituia";-;-;-;-;-;-;-
"150360 Itaituba";58;83;133;51;4;-;329
"150370 Itupiranga";-;-;-;-;-;-;-
"150375 Jacareacanga";-;-;-;-;-;-;-
"150380 Jacundá";48;2;20;20;2;-;92
"150390 Juruti";1;5;-;-;-;-;6
"150400 Limoeiro do Ajuru";-;-;-;-;-;-;-
"150405 Mãe do Rio";-;-;-;-;-;-;-
"150410 Magalhães Barata";-;-;-;-;-;-;-
"150420 Marabá";22;34;12;19;-;-;87
"150430 Maracanã";-;-;-;-;-;-;-
"150440 Marapanim";-;-;-;-;-;-;-
"150442 Marituba";-;22;4;18;-;-;44
"150445 Medicilândia";-;-;-;-;-;-;-
"150450 Melgaço";-;-;-;-;-;-;-
"150460 Mocajuba";-;-;-;-;-;-;-
"150470 Moju";-;-;-;-;-;-;-
"150475 Mojuí dos Campos";-;-;-;-;-;-;-
"150480 Monte Alegre";4;8;10;5;-;-;27
"150490 Muaná";-;-;-;-;-;-;-
"150495 Nova Esperança do Piriá";-;-;-;-;-;-;-
"150497 Nova Ipixuna";-;-;-;-;-;-;-
"150500 Nova Timboteua";-;-;-;-;-;-;-
"150503 Novo Progresso";1;2;2;1;2;-;8
"150506 Novo Repartimento";-;-;-;-;-;-;-
"150510 Óbidos";-;2;-;-;-;-;2
"150520 Oeiras do Pará";-;-;-;-;-;-;-
"150530 Oriximiná";7;2;3;3;-;-;15
"150540 Ourém";-;-;-;-;-;-;-
"150543 Ourilândia do Norte";2;-;-;-;-;-;2
"150548 Pacajá";2;3;-;-;-;-;5
"150549 Palestina do Pará";-;-;-;-;-;-;-
"150550 Paragominas";16;25;9;9;-;-;59
"150553 Parauapebas";88;37;49;30;1;-;205
"150555 Pau D'Arco";-;-;-;-;-;-;-
"150560 Peixe-Boi";-;-;-;-;-;-;-
"150563 Piçarra";-;-;-;-;-;-;-
"150565 Placas";-;-;-;-;-;-;-
"150570 Ponta de Pedras";-;-;-;-;-;-;-
"150580 Portel";-;-;-;-;-;-;-
"150590 Porto de Moz";-;-;-;-;-;-;-
"150600 Prainha";-;-;-;-;-;-;-
"150610 Primavera";-;-;-;-;-;-;-
"150611 Quatipuru";-;-;-;-;-;-;-
"150613 Redenção";34;28;14;14;1;-;91
"150616 Rio Maria";6;9;10;-;-;-;25
"150618 Rondon do Pará";2;6;3;2;-;-;13
"150619 Rurópolis";-;-;-;-;-;-;-
"150620 Salinópolis";-;-;-;-;-;-;-
"150630 Salvaterra";-;-;-;-;-;-;-
"150635 Santa Bárbara do Pará";-;-;-;-;-;-;-
"150640 Santa Cruz do Arari";-;-;-;-;-;-;-
"150650 Santa Izabel do Pará";-;-;-;-;-;-;-
"150655 Santa Luzia do Pará";-;-;-;-;-;-;-
"150658 Santa Maria das Barreiras";-;-;-;-;-;-;-
"150660 Santa Maria do Pará";-;-;-;-;-;-;-
"150670 Santana do Araguaia";-;-;-;-;-;-;-
"150680 Santarém";43;10;21;39;-;3;116
"150690 Santarém Novo";-;-;-;-;-;-;-
"150700 Santo Antônio do Tauá";-;2;-;-;-;-;2
"150710 São Caetano de Odivelas";-;-;-;-;-;-;-
"150715 São Domingos do Araguaia";-;-;-;-;-;-;-
"150720 São Domingos do Capim";-;-;-;-;-;-;-
"150730 São Félix do Xingu";1;24;10;12;-;-;47
"150740 São Francisco do Pará";-;-;-;-;-;-;-
"150745 São Geraldo do Araguaia";-;-;-;-;-;-;-
"150746 São João da Ponta";-;-;-;-;-;-;-
"150747 São João de Pirabas";-;-;-;-;-;-;-
"150750 São João do Araguaia";-;-;-;-;-;-;-
"150760 São Miguel do Guamá";-;-;-;-;-;-;-
"150770 São Sebastião da Boa Vista";-;-;-;-;-;-;-
"150775 Sapucaia";-;-;-;-;-;-;-
"150780 Senador José Porfírio";-;-;-;-;-;-;-
"150790 Soure";-;-;-;-;-;-;-
"150795 Tailândia";-;-;-;-;-;-;-
"150796 Terra Alta";-;-;-;-;-;-;-
"150797 Terra Santa";-;-;-;-;-;-;-
"150800 Tomé-Açu";3;7;7;4;-;-;21
"150803 Tracuateua";-;-;-;-;-;-;-
"150805 Trairão";-;-;-;-;-;-;-
"150808 Tucumã";4;3;3;2;-;-;12
"150810 Tucuruí";26;28;6;19;3;-;82
"150812 Ulianópolis";-;1;-;-;-;-;1
"150815 Uruará";-;3;-;-;-;-;3
"150820 Vigia";-;-;-;-;-;-;-
"150830 Viseu";-;-;-;-;-;-;-
"150835 Vitória do Xingu";-;-;-;-;-;-;-
"150840 Xinguara";7;41;1;1;1;-;51
"150000 Município ignorado - PA";-;-;-;-;-;-;-
"160010 Amapá";-;-;-;-;-;-;-
"160020 Calçoene";-;-;-;-;-;-;-
"160021 Cutias";-;-;-;-;-;-;-
"160023 Ferreira Gomes";-;-;-;-;-;-;-
"160025 Itaubal";-;-;-;-;-;-;-
"160027 Laranjal do Jari";-;-;-;-;-;-;-
"160030 Macapá";42;68;19;13;1;-;143
"160040 Mazagão";-;-;-;-;-;-;-
"160050 Oiapoque";-;-;-;-;-;-;-
"160015 Pedra Branca do Amapari";-;-;-;-;-;-;-
"160053 Porto Grande";-;-;-;-;-;-;-
"160055 Pracuúba";-;-;-;-;-;-;-
"160060 Santana";-;2;-;-;-;-;2
"160005 Serra do Navio";-;-;-;-;-;-;-
"160070 Tartarugalzinho";-;-;-;-;-;-;-
"160080 Vitória do Jari";-;-;-;-;-;-;-
"160000 Município ignorado - AP";-;-;-;-;-;-;-
"170025 Abreulândia";-;-;-;-;-;-;-
"170030 Aguiarnópolis";-;-;-;-;-;-;-
"170035 Aliança do Tocantins";-;-;-;-;-;-;-
"170040 Almas";-;-;-;-;-;-;-
"170070 Alvorada";-;-;-;-;-;-;-
"170100 Ananás";-;-;-;-;-;-;-
"170105 Angico";-;-;-;-;-;-;-
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;-
"170130 Aragominas";-;-;-;-;-;-;-
"170190 Araguacema";-;-;-;-;-;-;-
"170200 Araguaçu";-;-;-;-;-;-;-
"170210 Araguaína";28;75;19;10;-;-;132
"170215 Araguanã";-;-;-;-;-;-;-
"170220 Araguatins";-;-;-;-;-;-;-
"170230 Arapoema";-;-;-;-;-;-;-
"170240 Arraias";-;-;-;-;-;-;-
"170255 Augustinópolis";-;-;-;-;-;-;-
"170270 Aurora do Tocantins";-;-;-;-;-;-;-
"170290 Axixá do Tocantins";-;-;-;-;-;-;-
"170300 Babaçulândia";-;-;-;-;-;-;-
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;-
"170307 Barra do Ouro";-;-;-;-;-;-;-
"170310 Barrolândia";-;-;-;-;-;-;-
"170320 Bernardo Sayão";-;-;-;-;-;-;-
"170330 Bom Jesus do Tocantins";-;-;-;-;-;-;-
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;-
"170370 Brejinho de Nazaré";-;-;-;-;-;-;-
"170380 Buriti do Tocantins";-;-;-;-;-;-;-
"170382 Cachoeirinha";-;-;-;-;-;-;-
"170384 Campos Lindos";-;-;-;-;-;-;-
"170386 Cariri do Tocantins";-;-;-;-;-;-;-
"170388 Carmolândia";-;-;-;-;-;-;-
"170389 Carrasco Bonito";-;-;-;-;-;-;-
"170390 Caseara";-;-;-;-;-;-;-
"170410 Centenário";-;-;-;-;-;-;-
"170510 Chapada da Natividade";-;-;-;-;-;-;-
"170460 Chapada de Areia";-;-;-;-;-;-;-
"170550 Colinas do Tocantins";-;-;-;-;-;-;-
"171670 Colméia";-;-;-;-;-;-;-
"170555 Combinado";-;-;-;-;-;-;-
"170560 Conceição do Tocantins";-;-;-;-;-;-;-
"170600 Couto Magalhães";-;-;-;-;-;-;-
"170610 Cristalândia";-;-;-;-;-;-;-
"170625 Crixás do Tocantins";-;-;-;-;-;-;-
"170650 Darcinópolis";-;-;-;-;-;-;-
"170700 Dianópolis";-;-;-;-;-;-;-
"170710 Divinópolis do Tocantins";-;-;-;-;-;-;-
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;-
"170730 Dueré";2;2;3;-;-;-;7
"170740 Esperantina";-;-;-;-;-;-;-
"170755 Fátima";-;-;-;-;-;-;-
"170765 Figueirópolis";-;-;-;-;-;-;-
"170770 Filadélfia";-;-;-;-;-;-;-
"170820 Formoso do Araguaia";-;-;-;-;-;-;-
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;-
"170830 Goianorte";-;-;-;-;-;-;-
"170900 Goiatins";-;-;-;-;-;-;-
"170930 Guaraí";-;-;-;-;-;-;-
"170950 Gurupi";32;77;9;16;2;-;136
"170980 Ipueiras";-;-;-;-;-;-;-
"171050 Itacajá";-;-;-;-;-;-;-
"171070 Itaguatins";-;-;-;-;-;-;-
"171090 Itapiratins";-;-;-;-;-;-;-
"171110 Itaporã do Tocantins";-;-;-;-;-;-;-
"171150 Jaú do Tocantins";-;-;-;-;-;-;-
"171180 Juarina";-;-;-;-;-;-;-
"171190 Lagoa da Confusão";-;-;-;-;-;-;-
"171195 Lagoa do Tocantins";-;-;-;-;-;-;-
"171200 Lajeado";-;-;-;-;-;-;-
"171215 Lavandeira";-;-;-;-;-;-;-
"171240 Lizarda";-;-;-;-;-;-;-
"171245 Luzinópolis";-;-;-;-;-;-;-
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;-
"171270 Mateiros";-;-;-;-;-;-;-
"171280 Maurilândia do Tocantins";-;-;-;-;-;-;-
"171320 Miracema do Tocantins";-;-;-;-;-;-;-
"171330 Miranorte";-;-;-;-;-;-;-
"171360 Monte do Carmo";-;-;-;-;-;-;-
"171370 Monte Santo do Tocantins";-;-;-;-;-;-;-
"171395 Muricilândia";-;-;-;-;-;-;-
"171420 Natividade";-;-;-;-;-;-;-
"171430 Nazaré";-;-;-;-;-;-;-
"171488 Nova Olinda";-;-;-;-;-;-;-
"171500 Nova Rosalândia";-;-;-;-;-;-;-
"171510 Novo Acordo";-;-;-;-;-;-;-
"171515 Novo Alegre";-;-;-;-;-;-;-
"171525 Novo Jardim";-;-;-;-;-;-;-
"171550 Oliveira de Fátima";-;-;-;-;-;-;-
"172100 Palmas";309;95;8;27;-;8;447
"171570 Palmeirante";-;-;-;-;-;-;-
"171380 Palmeiras do Tocantins";-;-;-;-;-;-;-
"171575 Palmeirópolis";-;-;-;-;-;-;-
"171610 Paraíso do Tocantins";10;12;15;6;-;-;43
"171620 Paranã";-;-;-;-;-;-;-
"171630 Pau D'Arco";-;-;-;-;-;-;-
"171650 Pedro Afonso";-;-;-;-;-;-;-
"171660 Peixe";-;-;-;-;-;-;-
"171665 Pequizeiro";-;-;-;-;-;-;-
"171700 Pindorama do Tocantins";-;-;-;-;-;-;-
"171720 Piraquê";-;-;-;-;-;-;-
"171750 Pium";-;-;-;-;-;-;-
"171780 Ponte Alta do Bom Jesus";-;-;-;-;-;-;-
"171790 Ponte Alta do Tocantins";-;-;-;-;-;-;-
"171800 Porto Alegre do Tocantins";-;-;-;-;-;-;-
"171820 Porto Nacional";-;-;-;-;-;-;-
"171830 Praia Norte";-;-;-;-;-;-;-
"171840 Presidente Kennedy";-;-;-;-;-;-;-
"171845 Pugmil";-;-;-;-;-;-;-
"171850 Recursolândia";-;-;-;-;-;-;-
"171855 Riachinho";-;-;-;-;-;-;-
"171865 Rio da Conceição";-;-;-;-;-;-;-
"171870 Rio dos Bois";-;-;-;-;-;-;-
"171875 Rio Sono";-;-;-;-;-;-;-
"171880 Sampaio";-;-;-;-;-;-;-
"171884 Sandolândia";-;-;-;-;-;-;-
"171886 Santa Fé do Araguaia";-;-;-;-;-;-;-
"171888 Santa Maria do Tocantins";-;-;-;-;-;-;-
"171889 Santa Rita do Tocantins";-;-;-;-;-;-;-
"171890 Santa Rosa do Tocantins";-;-;-;-;-;-;-
"171900 Santa Tereza do Tocantins";-;-;-;-;-;-;-
"172000 Santa Terezinha do Tocantins";-;-;-;-;-;-;-
"172010 São Bento do Tocantins";-;-;-;-;-;-;-
"172015 São Félix do Tocantins";-;-;-;-;-;-;-
"172020 São Miguel do Tocantins";-;-;-;-;-;-;-
"172025 São Salvador do Tocantins";-;-;-;-;-;-;-
"172030 São Sebastião do Tocantins";-;-;-;-;-;-;-
"172049 São Valério";-;-;-;-;-;-;-
"172065 Silvanópolis";-;-;-;-;-;-;-
"172080 Sítio Novo do Tocantins";-;-;-;-;-;-;-
"172085 Sucupira";-;-;-;-;-;-;-
"172090 Taguatinga";-;-;-;-;-;-;-
"172093 Taipas do Tocantins";-;-;-;-;-;-;-
"172097 Talismã";-;-;-;-;-;-;-
"172110 Tocantínia";-;-;-;-;-;-;-
"172120 Tocantinópolis";-;-;-;-;-;-;-
"172125 Tupirama";-;-;-;-;-;-;-
"172130 Tupiratins";-;-;-;-;-;-;-
"172208 Wanderlândia";-;-;-;-;-;-;-
"172210 Xambioá";-;-;-;-;-;-;-
"170000 Município ignorado - TO";-;-;-;-;-;-;-
"210005 Açailândia";34;36;16;4;-;-;90
"210010 Afonso Cunha";-;-;-;-;-;-;-
"210015 Água Doce do Maranhão";-;-;-;-;-;-;-
"210020 Alcântara";-;-;-;-;-;-;-
"210030 Aldeias Altas";-;-;-;-;-;-;-
"210040 Altamira do Maranhão";-;-;-;-;-;-;-
"210043 Alto Alegre do Maranhão";-;-;-;-;-;-;-
"210047 Alto Alegre do Pindaré";-;-;-;-;-;-;-
"210050 Alto Parnaíba";-;-;-;-;-;-;-
"210055 Amapá do Maranhão";-;-;-;-;-;-;-
"210060 Amarante do Maranhão";-;9;-;-;-;-;9
"210070 Anajatuba";-;-;-;-;-;-;-
"210080 Anapurus";-;-;-;-;-;-;-
"210083 Apicum-Açu";-;-;-;-;-;-;-
"210087 Araguanã";-;-;-;-;-;-;-
"210090 Araioses";-;-;-;-;-;-;-
"210095 Arame";-;-;-;-;-;-;-
"210100 Arari";-;-;-;-;-;-;-
"210110 Axixá";-;-;-;-;-;-;-
"210120 Bacabal";3;13;5;-;-;-;21
"210125 Bacabeira";-;4;-;-;-;-;4
"210130 Bacuri";-;-;-;-;-;-;-
"210135 Bacurituba";-;-;-;-;-;-;-
"210140 Balsas";3;8;8;4;-;-;23
"210150 Barão de Grajaú";-;-;-;-;-;-;-
"210160 Barra do Corda";4;14;5;7;-;-;30
"210170 Barreirinhas";-;5;-;-;-;-;5
"210177 Bela Vista do Maranhão";-;-;-;-;-;-;-
"210173 Belágua";-;-;-;-;-;-;-
"210180 Benedito Leite";-;-;-;-;-;-;-
"210190 Bequimão";-;-;-;-;-;-;-
"210193 Bernardo do Mearim";-;-;-;-;-;-;-
"210197 Boa Vista do Gurupi";-;-;-;-;-;-;-
"210200 Bom Jardim";-;-;-;-;-;-;-
"210203 Bom Jesus das Selvas";-;-;-;-;-;-;-
"210207 Bom Lugar";-;-;-;-;-;-;-
"210210 Brejo";-;-;-;-;-;-;-
"210215 Brejo de Areia";-;-;-;-;-;-;-
"210220 Buriti";-;-;-;-;-;-;-
"210230 Buriti Bravo";-;-;-;-;-;-;-
"210232 Buriticupu";-;-;-;-;-;-;-
"210235 Buritirana";-;-;-;-;-;-;-
"210237 Cachoeira Grande";-;-;-;-;-;-;-
"210240 Cajapió";-;-;-;-;-;-;-
"210250 Cajari";-;-;-;-;-;-;-
"210255 Campestre do Maranhão";-;-;-;-;-;-;-
"210260 Cândido Mendes";-;-;-;-;-;-;-
"210270 Cantanhede";-;-;-;-;-;-;-
"210275 Capinzal do Norte";-;1;-;-;-;-;1
"210280 Carolina";-;-;-;-;-;-;-
"210290 Carutapera";-;-;-;-;-;-;-
"210300 Caxias";2;3;2;-;-;-;7
"210310 Cedral";-;-;-;-;-;-;-
"210312 Central do Maranhão";-;-;-;-;-;-;-
"210315 Centro do Guilherme";-;-;-;-;-;-;-
"210317 Centro Novo do Maranhão";-;-;-;-;-;-;-
"210320 Chapadinha";10;8;7;7;-;-;32
"210325 Cidelândia";-;-;-;-;-;-;-
"210330 Codó";-;-;-;-;-;-;-
"210340 Coelho Neto";4;8;4;4;-;-;20
"210350 Colinas";-;-;-;-;-;-;-
"210355 Conceição do Lago-Açu";-;-;-;-;-;-;-
"210360 Coroatá";-;-;-;-;-;-;-
"210370 Cururupu";-;6;-;-;-;-;6
"210375 Davinópolis";-;-;-;-;-;-;-
"210380 Dom Pedro";-;-;-;-;-;-;-
"210390 Duque Bacelar";-;-;-;-;-;-;-
"210400 Esperantinópolis";-;-;-;-;-;-;-
"210405 Estreito";-;5;2;1;-;-;8
"210407 Feira Nova do Maranhão";-;-;-;-;-;-;-
"210408 Fernando Falcão";-;-;-;-;-;-;-
"210409 Formosa da Serra Negra";-;-;-;-;-;-;-
"210410 Fortaleza dos Nogueiras";-;-;-;-;-;-;-
"210420 Fortuna";-;-;-;-;-;-;-
